idx,Variable,Unit,r21m42,r21m42_unit,factor,Comment,Category,Definition,available,source,quality,useful
916,Final Energy|Industry|Other|Liquids|Bioenergy,EJ/yr,,,,,Energy,"final energy consumption by the industrial other sector of liquids|bioenergy, excluding transmission/distribution losses",,,,no
917,Final Energy|Industry|Other|Liquids|Fossil,EJ/yr,,,,,Energy,"final energy consumption by the industrial other sector of liquids|fossil, excluding transmission/distribution losses",,,,no
918,Final Energy|Industry|Other|Liquids|Hydrogen synfuel,EJ/yr,,,,,Energy,"final energy consumption by the industrial other sector of liquids|hydrogen synfuel, excluding transmission/distribution losses",,,,no
919,Final Energy|Industry|Other|Other,EJ/yr,,,,,Energy,"final energy consumption by the industrial other sector of other, excluding transmission/distribution losses",,,,no
920,Final Energy|Industry|Other|Solids,EJ/yr,FE|Industry|Solids|other,EJ/yr,,"Everything except cement, steel and chemicals",Energy,"final energy consumption by the industrial other sector of solids, excluding transmission/distribution losses",yes,endogenous,high,no
921,Final Energy|Industry|Other|Solids|Bioenergy,EJ/yr,,,,,Energy,"final energy consumption by the industrial other sector of solids|bioenergy, excluding transmission/distribution losses",,,,no
922,Final Energy|Industry|Other|Solids|Fossil,EJ/yr,,,,,Energy,"final energy consumption by the industrial other sector of solids|fossil, excluding transmission/distribution losses",,,,no
923,Final Energy|Industry|Plastics|Electricity,EJ/yr,,,,,Energy,"final energy consumption by the industrial plastics sector of electricity, excluding transmission/distribution losses",,,,no
924,Final Energy|Industry|Plastics|Gases,EJ/yr,,,,,Energy,"final energy consumption by the industrial plastics sector of gases, excluding transmission/distribution losses",,,,no
925,Final Energy|Industry|Plastics|Gases|Bioenergy,EJ/yr,,,,,Energy,"final energy consumption by the industrial plastics sector of gases|bioenergy, excluding transmission/distribution losses",,,,no
926,Final Energy|Industry|Plastics|Gases|Fossil,EJ/yr,,,,,Energy,"final energy consumption by the industrial plastics sector of gases|fossil, excluding transmission/distribution losses",,,,no
927,Final Energy|Industry|Plastics|Gases|Hydrogen synfuel,EJ/yr,,,,,Energy,"final energy consumption by the industrial plastics sector of gases|hydrogen synfuel, excluding transmission/distribution losses",,,,no
928,Final Energy|Industry|Plastics|Heat,EJ/yr,,,,,Energy,"final energy consumption by the industrial plastics sector of heat, excluding transmission/distribution losses",,,,no
929,Final Energy|Industry|Plastics|Hydrogen,EJ/yr,,,,,Energy,"final energy consumption by the industrial plastics sector of hydrogen, excluding transmission/distribution losses",,,,no
930,Final Energy|Industry|Plastics|Liquids,EJ/yr,,,,,Energy,"final energy consumption by the industrial plastics sector of liquids, excluding transmission/distribution losses",,,,no
931,Final Energy|Industry|Plastics|Liquids|Bioenergy,EJ/yr,,,,,Energy,"final energy consumption by the industrial plastics sector of liquids|bioenergy, excluding transmission/distribution losses",,,,no
932,Final Energy|Industry|Plastics|Liquids|Fossil,EJ/yr,,,,,Energy,"final energy consumption by the industrial plastics sector of liquids|fossil, excluding transmission/distribution losses",,,,no
933,Final Energy|Industry|Plastics|Liquids|Hydrogen synfuel,EJ/yr,,,,,Energy,"final energy consumption by the industrial plastics sector of liquids|hydrogen synfuel, excluding transmission/distribution losses",,,,no
934,Final Energy|Industry|Plastics|Other,EJ/yr,,,,,Energy,"final energy consumption by the industrial plastics sector of other, excluding transmission/distribution losses",,,,no
935,Final Energy|Industry|Plastics|Solids,EJ/yr,,,,,Energy,"final energy consumption by the industrial plastics sector of solids, excluding transmission/distribution losses",,,,no
936,Final Energy|Industry|Plastics|Solids|Bioenergy,EJ/yr,,,,,Energy,"final energy consumption by the industrial plastics sector of solids|bioenergy, excluding transmission/distribution losses",,,,no
937,Final Energy|Industry|Plastics|Solids|Fossil,EJ/yr,,,,,Energy,"final energy consumption by the industrial plastics sector of solids|fossil, excluding transmission/distribution losses",,,,no
938,Final Energy|Industry|Pulp and Paper|Electricity,EJ/yr,,,,,Energy,"final energy consumption by the industrial pulp and paper sector of electricity, excluding transmission/distribution losses",,,,no
939,Final Energy|Industry|Pulp and Paper|Gases,EJ/yr,,,,,Energy,"final energy consumption by the industrial pulp and paper sector of gases, excluding transmission/distribution losses",,,,no
940,Final Energy|Industry|Pulp and Paper|Gases|Bioenergy,EJ/yr,,,,,Energy,"final energy consumption by the industrial pulp and paper sector of gases|bioenergy, excluding transmission/distribution losses",,,,no
941,Final Energy|Industry|Pulp and Paper|Gases|Fossil,EJ/yr,,,,,Energy,"final energy consumption by the industrial pulp and paper sector of gases|fossil, excluding transmission/distribution losses",,,,no
942,Final Energy|Industry|Pulp and Paper|Gases|Hydrogen synfuel,EJ/yr,,,,,Energy,"final energy consumption by the industrial pulp and paper sector of gases|hydrogen synfuel, excluding transmission/distribution losses",,,,no
943,Final Energy|Industry|Pulp and Paper|Heat,EJ/yr,,,,,Energy,"final energy consumption by the industrial pulp and paper sector of heat, excluding transmission/distribution losses",,,,no
944,Final Energy|Industry|Pulp and Paper|Hydrogen,EJ/yr,,,,,Energy,"final energy consumption by the industrial pulp and paper sector of hydrogen, excluding transmission/distribution losses",,,,no
945,Final Energy|Industry|Pulp and Paper|Liquids,EJ/yr,,,,,Energy,"final energy consumption by the industrial pulp and paper sector of liquids, excluding transmission/distribution losses",,,,no
946,Final Energy|Industry|Pulp and Paper|Liquids|Bioenergy,EJ/yr,,,,,Energy,"final energy consumption by the industrial pulp and paper sector of liquids|bioenergy, excluding transmission/distribution losses",,,,no
947,Final Energy|Industry|Pulp and Paper|Liquids|Fossil,EJ/yr,,,,,Energy,"final energy consumption by the industrial pulp and paper sector of liquids|fossil, excluding transmission/distribution losses",,,,no
948,Final Energy|Industry|Pulp and Paper|Liquids|Hydrogen synfuel,EJ/yr,,,,,Energy,"final energy consumption by the industrial pulp and paper sector of liquids|hydrogen synfuel, excluding transmission/distribution losses",,,,no
949,Final Energy|Industry|Pulp and Paper|Other,EJ/yr,,,,,Energy,"final energy consumption by the industrial pulp and paper sector of other, excluding transmission/distribution losses",,,,no
950,Final Energy|Industry|Pulp and Paper|Solids,EJ/yr,,,,,Energy,"final energy consumption by the industrial pulp and paper sector of solids, excluding transmission/distribution losses",,,,no
951,Final Energy|Industry|Pulp and Paper|Solids|Bioenergy,EJ/yr,,,,,Energy,"final energy consumption by the industrial pulp and paper sector of solids|bioenergy, excluding transmission/distribution losses",,,,no
952,Final Energy|Industry|Pulp and Paper|Solids|Fossil,EJ/yr,,,,,Energy,"final energy consumption by the industrial pulp and paper sector of solids|fossil, excluding transmission/distribution losses",,,,no
953,Final Energy|Industry|Solids,EJ/yr,FE|Industry|Solids,EJ/yr,,,Energy,final energy solid fuel consumption by the industrial sector (including coal and solid biomass),yes,endogenous,high,no
954,Final Energy|Industry|Solids|Biomass,EJ/yr,FE|Industry|Solids|Biomass,EJ/yr,,,Energy,final energy consumption by the industry sector of solid biomass,yes,endogenous,high,no
955,Final Energy|Industry|Solids|Coal,EJ/yr,FE|Industry|Solids|Coal,EJ/yr,,,Energy,final energy consumption by the industry sector of coal,yes,endogenous,high,no
956,Final Energy|Industry|Steel|Electricity,EJ/yr,FE|Industry|Electricity|Steel,EJ/yr,,,Energy,"final energy consumption by the industrial steel sector of electricity, excluding transmission/distribution losses",yes,endogenous,high,no
957,Final Energy|Industry|Steel|Gases,EJ/yr,FE|Industry|Gases|Steel,EJ/yr,,,Energy,"final energy consumption by the industrial steel sector of gases, excluding transmission/distribution losses",yes,endogenous,high,no
958,Final Energy|Industry|Steel|Gases|Bioenergy,EJ/yr,,,,,Energy,"final energy consumption by the industrial steel sector of gases|bioenergy, excluding transmission/distribution losses",,,,no
959,Final Energy|Industry|Steel|Gases|Fossil,EJ/yr,,,,,Energy,"final energy consumption by the industrial steel sector of gases|fossil, excluding transmission/distribution losses",,,,no
960,Final Energy|Industry|Steel|Gases|Hydrogen synfuel,EJ/yr,,,,,Energy,"final energy consumption by the industrial steel sector of gases|hydrogen synfuel, excluding transmission/distribution losses",,,,no
961,Final Energy|Industry|Steel|Heat,EJ/yr,FE|Industry|Heat|Steel,EJ/yr,,,Energy,"final energy consumption by the industrial steel sector of heat, excluding transmission/distribution losses",yes,endogenous,high,no
962,Final Energy|Industry|Steel|Hydrogen,EJ/yr,FE|Industry|Hydrogen|Steel,EJ/yr,,,Energy,"final energy consumption by the industrial steel sector of hydrogen, excluding transmission/distribution losses",yes,endogenous,high,no
963,Final Energy|Industry|Steel|Liquids,EJ/yr,FE|Industry|Liquids|Steel,EJ/yr,,,Energy,"final energy consumption by the industrial steel sector of liquids, excluding transmission/distribution losses",yes,endogenous,high,no
964,Final Energy|Industry|Steel|Liquids|Bioenergy,EJ/yr,,,,,Energy,"final energy consumption by the industrial steel sector of liquids|bioenergy, excluding transmission/distribution losses",,,,no
965,Final Energy|Industry|Steel|Liquids|Fossil,EJ/yr,,,,,Energy,"final energy consumption by the industrial steel sector of liquids|fossil, excluding transmission/distribution losses",,,,no
966,Final Energy|Industry|Steel|Liquids|Hydrogen synfuel,EJ/yr,,,,,Energy,"final energy consumption by the industrial steel sector of liquids|hydrogen synfuel, excluding transmission/distribution losses",,,,no
967,Final Energy|Industry|Steel|Other,EJ/yr,,,,,Energy,"final energy consumption by the industrial steel sector of other, excluding transmission/distribution losses",,,,no
968,Final Energy|Industry|Steel|Solids,EJ/yr,FE|Industry|Solids|Steel,EJ/yr,,,Energy,"final energy consumption by the industrial steel sector of solids, excluding transmission/distribution losses",yes,endogenous,high,no
969,Final Energy|Industry|Steel|Solids|Bioenergy,EJ/yr,,,,,Energy,"final energy consumption by the industrial steel sector of solids|bioenergy, excluding transmission/distribution losses",,,,no
970,Final Energy|Industry|Steel|Solids|Fossil,EJ/yr,,,,,Energy,"final energy consumption by the industrial steel sector of solids|fossil, excluding transmission/distribution losses",,,,no
971,Final Energy|Liquids,EJ/yr,FE|+|Liquids,EJ/yr,,,Energy,"final energy consumption of refined liquids (conventional & unconventional oil, biofuels, coal-to-liquids, gas-to-liquids)",yes,endogenous,high,no
972,Final Energy|Non-Energy Use,EJ/yr,,,,,Energy,final energy consumption by the non-combustion processes,,,,no
973,Final Energy|Non-Energy Use|Biomass,EJ/yr,,,,,Energy,final energy consumption of biomass by the non-combustion processes,,,,no
974,Final Energy|Non-Energy Use|Coal,EJ/yr,,,,,Energy,final energy consumption of coal by the non-combustion processes,,,,no
975,Final Energy|Non-Energy Use|Gas,EJ/yr,,,,,Energy,final energy consumption of gas by the non-combustion processes,,,,no
976,Final Energy|Non-Energy Use|Oil,EJ/yr,,,,,Energy,final energy consumption of oil by the non-combustion processes,,,,no
977,Final Energy|Other,EJ/yr,,,,,Energy,final energy consumption of other sources that do not fit to any other category (please provide a definition of the sources in this category in the 'comments' tab),,,,no
978,Final Energy|Other Sector,EJ/yr,FE|CDR,EJ/yr,,Carbon Dioxide Removal,Energy,total final energy consumption by other sectors,yes,endogenous,high,no
979,Final Energy|Other Sector|Electricity,EJ/yr,FE|CDR|Electricity,EJ/yr,,,Energy,"final energy consumption by other sectors of electricity (including on-site solar PV), excluding transmission/distribution losses",yes,endogenous,high,no
980,Final Energy|Other Sector|Gases,EJ/yr,FE|CDR|Gases,EJ/yr,,,Energy,"final energy consumption by other sectors of gases (natural gas, biogas, coal-gas), excluding transmission/distribution losses",yes,endogenous,high,no
981,Final Energy|Other Sector|Heat,EJ/yr,,,,,Energy,"final energy consumption by other sectors of heat (e.g., district heat, process heat, solar heating and warm water), excluding transmission/distribution losses",,,,no
982,Final Energy|Other Sector|Hydrogen,EJ/yr,FE|CDR|Hydrogen,EJ/yr,,,Energy,final energy consumption by other sectors of hydrogen,yes,endogenous,high,no
983,Final Energy|Other Sector|Liquids,EJ/yr,FE|CDR|Liquids,EJ/yr,,,Energy,"final energy consumption by other sectors of refined liquids (conventional & unconventional oil, biofuels, coal-to-liquids, gas-to-liquids)",yes,endogenous,high,no
984,Final Energy|Other Sector|Other,EJ/yr,,,,,Energy,final energy consumption by other sectors of other sources that do not fit to any other category (please provide a definition of the sources in this category in the 'comments' tab),,,,no
985,Final Energy|Other Sector|Solids,EJ/yr,,,,,Energy,final energy solid fuel consumption by other sectors (including coal and solid biomass),,,,no
986,Final Energy|Other Sector|Solids|Biomass,EJ/yr,,,,,Energy,"final energy consumption by other sectors of solid biomass (modern and traditional), excluding final energy consumption of bioliquids which are reported in the liquids category",,,,no
987,Final Energy|Other Sector|Solids|Biomass|Traditional,EJ/yr,,,,,Energy,"final energy consumed by other sectors than industry, transportation, residential and commercial coming from biomass (traditional)",,,,no
988,Final Energy|Other Sector|Solids|Coal,EJ/yr,,,,,Energy,final energy coal consumption by other sectors,,,,no
989,Final Energy|Solar,EJ/yr,,EJ/yr,,,Energy,"final energy consumption of solar energy (e.g., from roof-top solar hot water collector systems)",,,,no
990,Final Energy|Solids,EJ/yr,FE|+|Solids,EJ/yr,,,Energy,final energy solid fuel consumption (including coal and solid biomass),yes,endogenous,high,no
991,Final Energy|Solids|Biomass,EJ/yr,FE|Solids|Biomass,EJ/yr,,,Energy,"final energy consumption of solid biomass (modern and traditional), excluding final energy consumption of bioliquids which are reported in the liquids category",yes,endogenous,high,no
992,Final Energy|Solids|Biomass|Traditional,EJ/yr,FE|Solids|Biomass|Traditional,EJ/yr,,,Energy,final energy consumption of traditional biomass,yes,endogenous,high,no
993,Final Energy|Solids|Coal,EJ/yr,FE|Solids|Coal,EJ/yr,,,Energy,final energy coal consumption,yes,endogenous,high,no
994,Final Energy|Transportation,EJ/yr,FE|Transport,EJ/yr,,,Energy,"final energy consumed in the transportation sector, including bunker fuels, excluding pipelines",yes,endogenous,high,no
995,Final Energy|Transportation|Aviation,EJ/yr,,,,,Energy,Final energy consumed in the transport sector by aviation mode,,,,no
996,Final Energy|Transportation|Aviation|Freight,EJ/yr,,,,,Energy,Final energy consumed in the transport sector by freight aviation mode,,,,no
997,Final Energy|Transportation|Aviation|Passenger,EJ/yr,FE|Transport|Pass|Aviation,EJ/yr,,,Energy,Final energy consumed in the transport sector by passenger aviation mode,yes,endogenous,high,no
998,Final Energy|Transportation|Electricity,EJ/yr,FE|Transport|Electricity,EJ/yr,,,Energy,"final energy consumption by the transportation sector of electricity (including on-site solar PV), excluding transmission/distribution losses",yes,endogenous,high,no
999,Final Energy|Transportation|Freight,EJ/yr,FE|Transport|Freight,EJ/yr,,,Energy,final energy consumed for freight transportation,yes,endogenous,high,no
1000,Final Energy|Transportation|Freight|Electricity,EJ/yr,FE|Transport|Freight|Electricity,EJ/yr,,,Energy,"final energy consumption by the freight transportation sector of electricity (including on-site solar PV), excluding transmission/distribution losses",yes,endogenous,high,no
1001,Final Energy|Transportation|Freight|Gases,EJ/yr,FE|Transport|Freight|Gases,EJ/yr,,,Energy,"final energy consumption by the freight transportation sector of gases (natural gas, biogas, coal-gas), excluding transmission/distribution losses",yes,endogenous,high,no
1002,Final Energy|Transportation|Freight|Gases|Bioenergy,EJ/yr,,,,,Energy,Final bioenergy-based gas energy consumed in the transportation sector by freight transport,,,,no
1003,Final Energy|Transportation|Freight|Gases|Fossil,EJ/yr,,,,,Energy,Final fossil-based gas energy consumed in the transportation sector by freight transport,,,,no
1004,Final Energy|Transportation|Freight|Hydrogen,EJ/yr,FE|Transport|Freight|Hydrogen,EJ/yr,,,Energy,final energy consumption by the freight transportation sector of hydrogen,yes,endogenous,high,no
1005,Final Energy|Transportation|Freight|Liquids,EJ/yr,FE|Transport|Freight|Liquids,EJ/yr,,,Energy,"final energy consumption by the freight transportation sector of refined liquids (conventional & unconventional oil, biofuels, coal-to-liquids, gas-to-liquids)",yes,endogenous,high,no
1006,Final Energy|Transportation|Freight|Liquids|Bioenergy,EJ/yr,,,,,Energy,Final biofuels based (liquid or gas) energy consumed in the transport sector by freight vehicles,,,,no
1007,Final Energy|Transportation|Freight|Liquids|Biomass,EJ/yr,FE|Transport|Freight|Liquids|Biomass,EJ/yr,,,Energy,final energy consumption by the freight transportation sector of liquid biofuels,yes,endogenous,high,no
1008,Final Energy|Transportation|Freight|Liquids|Fossil synfuel,EJ/yr,,,,,Energy,"Final energy, in the form of fossil synfuel (e.g. CTL, GTL, Methanol, and DME), consumed in the transport sector by freight vehicles",,,,no
1009,Final Energy|Transportation|Freight|Liquids|Oil,EJ/yr,FE|Transport|Freight|Liquids|Oil,EJ/yr,,,Energy,final energy consumption by the freight transportation sector of liquid oil products (from conventional & unconventional oil),yes,endogenous,high,no
1010,Final Energy|Transportation|Freight|Other,EJ/yr,FE|Transport|Freight|Liquids|Hydrogen,EJ/yr,,“Green” synthetic fuels from hydrogen made from electrolysis + “blue” synfuels from fossil H2,Energy,final energy consumption by the freight transportation sector of other sources that do not fit to any other category (please provide a definition of the sources in this category in the 'comments' tab),yes,endogenous,high,no
1011,Final Energy|Transportation|Gases,EJ/yr,FE|Transport|Gases,EJ/yr,,,Energy,"final energy consumption by the transportation sector of gases (natural gas, biogas, coal-gas), excluding transmission/distribution losses",yes,endogenous,high,no
1012,Final Energy|Transportation|Gases|Bioenergy,EJ/yr,,,,,Energy,Final bioenergy-based gas energy consumed in the transportation sector.,,,,no
1013,Final Energy|Transportation|Gases|Fossil,EJ/yr,,,,,Energy,Final fossil-based gas energy consumed in the transportation sector.,,,,no
1014,Final Energy|Transportation|Hydrogen,EJ/yr,FE|Transport|Hydrogen,EJ/yr,,,Energy,final energy consumption by the transportation sector of hydrogen,yes,endogenous,high,no
1015,Final Energy|Transportation|Liquids,EJ/yr,FE|Transport|Liquids,EJ/yr,,,Energy,"final energy consumption by the transportation sector of refined liquids (conventional & unconventional oil, biofuels, coal-to-liquids, gas-to-liquids)",yes,endogenous,high,no
1016,Final Energy|Transportation|Liquids|Bioenergy,EJ/yr,,,,,Energy,Final biofuels based (liquid or gas) energy consumed in the transport sector by passenger and freight vehicles,,,,no
1017,Final Energy|Transportation|Liquids|Biomass,EJ/yr,FE|Transport|Liquids|Biomass,EJ/yr,,,Energy,final energy consumption by the transportation sector of liquid biofuels,yes,endogenous,high,no
1018,Final Energy|Transportation|Liquids|Coal,EJ/yr,FE|Transport|Liquids|Coal,EJ/yr,,,Energy,final energy consumption by the transportation sector of coal based liquids (coal-to-liquids),yes,endogenous,high,no
1019,Final Energy|Transportation|Liquids|Fossil synfuel,EJ/yr,,,,,Energy,"Final energy, in the form of fossil synfuel (e.g. CTL, GTL, Methanol, and DME), consumed in the transport sector by passenger and freight vehicles",,,,no
1020,Final Energy|Transportation|Liquids|Natural Gas,EJ/yr,,,,,Energy,final energy consumption by the transportation sector of natrual gas based liquids (gas-to-liquids),,,,no
1021,Final Energy|Transportation|Liquids|Oil,EJ/yr,FE|Transport|Liquids|Oil,EJ/yr,,,Energy,final energy consumption by the transportation sector of liquid oil products (from conventional & unconventional oil),yes,endogenous,high,no
1022,Final Energy|Transportation|Maritime,EJ/yr,FE|Transport|Freight|Shipping,EJ/yr,,,Energy,Final energy consumed in the transport sector by maritime mode,yes,endogenous,high,no
1023,Final Energy|Transportation|Other,EJ/yr,FE|Transport|Liquids|Hydrogen,EJ/yr,,“Green” synthetic fuels from hydrogen made from electrolysis + “blue” synfuels from fossil H2,Energy,final energy consumption by the transportation sector of other sources that do not fit to any other category (please provide a definition of the sources in this category in the 'comments' tab),yes,endogenous,high,no
1024,Final Energy|Transportation|Passenger,EJ/yr,FE|Transport|Pass,EJ/yr,,,Energy,final energy consumed for passenger transportation,yes,endogenous,high,no
1025,Final Energy|Transportation|Passenger|Electricity,EJ/yr,FE|Transport|Pass|Electricity,EJ/yr,,,Energy,"final energy consumption by the passenger transportation sector of electricity (including on-site solar PV), excluding transmission/distribution losses",yes,endogenous,high,no
1026,Final Energy|Transportation|Passenger|Gases,EJ/yr,FE|Transport|Pass|Gases,EJ/yr,,,Energy,"final energy consumption by the passenger transportation sector of gases (natural gas, biogas, coal-gas), excluding transmission/distribution losses",yes,endogenous,high,no
1027,Final Energy|Transportation|Passenger|Gases|Bioenergy,EJ/yr,,,,,Energy,Final bioenergy-based gas energy consumed in the transportation sector by passenger transport,,,,no
1028,Final Energy|Transportation|Passenger|Gases|Fossil,EJ/yr,,,,,Energy,Final fossil-based gas energy consumed in the transportation sector by passenger transport,,,,no
1029,Final Energy|Transportation|Passenger|Hydrogen,EJ/yr,FE|Transport|Pass|Hydrogen,EJ/yr,,,Energy,final energy consumption by the passenger transportation sector of hydrogen,yes,endogenous,high,no
1030,Final Energy|Transportation|Passenger|Liquids,EJ/yr,FE|Transport|Pass|Liquids,EJ/yr,,,Energy,"final energy consumption by the passenger transportation sector of refined liquids (conventional & unconventional oil, biofuels, coal-to-liquids, gas-to-liquids)",yes,endogenous,high,no
1031,Final Energy|Transportation|Passenger|Liquids|Bioenergy,EJ/yr,,,,,Energy,Final biofuels based (liquid or gas) energy consumed in the transport sector by passenger vehicles,,,,no
1032,Final Energy|Transportation|Passenger|Liquids|Biomass,EJ/yr,FE|Transport|Pass|Liquids|Biomass,EJ/yr,,,Energy,final energy consumption by the passenger transportation sector of liquid biofuels,yes,endogenous,high,no
1033,Final Energy|Transportation|Passenger|Liquids|Fossil synfuel,EJ/yr,,,,,Energy,"Final energy, in the form of fossil synfuel (e.g. CTL, GTL, Methanol, and DME), consumed in the transport sector by passenger vehicles",,,,no
1034,Final Energy|Transportation|Passenger|Liquids|Oil,EJ/yr,FE|Transport|Pass|Liquids|Oil,EJ/yr,,,Energy,final energy consumption by the passenger transportation sector of liquid oil products (from conventional & unconventional oil),yes,endogenous,high,no
1035,Final Energy|Transportation|Passenger|Other,EJ/yr,FE|Transport|Pass|Liquids|Hydrogen,EJ/yr,,“Green” synthetic fuels from hydrogen made from electrolysis + “blue” synfuels from fossil H2,Energy,final energy consumption by the passenger transportation sector of other sources that do not fit to any other category (please provide a definition of the sources in this category in the 'comments' tab),yes,endogenous,high,no
1036,Final Energy|Transportation|Rail,EJ/yr,,,,,Energy,Final energy consumed in the transport sector by rail mode,,,,no
1037,Final Energy|Transportation|Rail|Freight,EJ/yr,FE|Transport|Freight|Rail,EJ/yr,,,Energy,Final energy consumed in the transport sector by freight rail mode,yes,endogenous,high,no
1038,Final Energy|Transportation|Rail|Passenger,EJ/yr,FE|Transport|Pass|Rail,EJ/yr,,,Energy,Final energy consumed in the transport sector by passenger rail mode,yes,endogenous,high,no
1039,Final Energy|Transportation|Road|Freight,EJ/yr,FE|Transport|Freight|Road,EJ/yr,,,Energy,Final energy consumed in the transport sector by road transport freight vehicles,yes,endogenous,high,no
1040,Final Energy|Transportation|Road|Freight|Electric,EJ/yr,FE|Transport|Freight|Road|Electricity,EJ/yr,,,Energy,"Final energy consumed in the transport sector by road transport freight  electric vehicles (e.g. PHEV, BEV)",yes,endogenous,high,no
1041,Final Energy|Transportation|Road|Freight|FC,EJ/yr,FE|Transport|Freight|Road|Hydrogen,EJ/yr,,,Energy,Final energy consumed in the transport sector by road transport freight  fuel cell vehicles,yes,endogenous,high,no
1042,Final Energy|Transportation|Road|Freight|ICE,EJ/yr,FE|Transport|Freight|Road|Liquids,EJ/yr,,,Energy,"Final energy consumed in the transport sector by road transport freight vehicles , driven by an internal combustion engine (including HEVs)",yes,endogenous,high,no
1043,Final Energy|Transportation|Road|Passenger,EJ/yr,TODO,EJ/yr,,,Energy,Final energy consumed in the transport sector by road transport passenger vehicles,yes,endogenous,high,no
1044,Final Energy|Transportation|Road|Passenger|2W&3W,EJ/yr,FE|Transport|Pass|Road|LDV|Two-Wheelers,EJ/yr,,,Energy,Final energy consumed in the transport sector by road passenger transport by 2W and 3W vehicles,yes,endogenous,high,no
1045,Price|Final Energy|Transportation|Electricity,US$2010/GJ or local currency/GJ,Price|Final Energy|Electricity|Transport|Moving Avg,EJ/yr,,,Energy,Electricity price at the final level in the transportation sector. Prices should include taxes and the effect of carbon prices.,yes,endogenous,medium,no
1046,Price|Final Energy|Transportation|Gases,US$2010/GJ or local currency/GJ,Price|Final Energy|Gases|Transport,EJ/yr,,,Energy,Gases price at the final level in the transportation sector. Prices should include taxes and the effect of carbon prices.,yes,endogenous,medium,no
1047,Price|Final Energy|Transportation|Gases|Bioenergy,US$2010/GJ or local currency/GJ,,,,,Energy,Gases|Bioenergy price at the final level in the transportation sector. Prices should include taxes and the effect of carbon prices.,,,,no
1048,Price|Final Energy|Transportation|Gases|Fossil,US$2010/GJ or local currency/GJ,,,,,Energy,Gases|Fossil price at the final level in the transportation sector. Prices should include taxes and the effect of carbon prices.,,,,no
1049,Price|Final Energy|Transportation|Hydrogen,US$2010/GJ or local currency/GJ,Price|Final Energy|Hydrogen|Transport,EJ/yr,,,Energy,Hydrogen price at the final level in the transportation sector. Prices should include taxes and the effect of carbon prices.,yes,endogenous,medium,no
1050,Price|Final Energy|Transportation|Liquids,US$2010/GJ or local currency/GJ,Price|Final Energy|Liquids|Transport,EJ/yr,,,Energy,Liquids price at the final level in the transportation sector. Prices should include taxes and the effect of carbon prices.,yes,endogenous,medium,no
1051,Price|Final Energy|Transportation|Liquids|Bioenergy,US$2010/GJ or local currency/GJ,,,,,Energy,Liquids|Bioenergy price at the final level in the transportation sector. Prices should include taxes and the effect of carbon prices.,,,,no
1052,Price|Final Energy|Transportation|Liquids|Fossil,US$2010/GJ or local currency/GJ,,,,,Energy,Liquids|Fossil price at the final level in the transportation sector. Prices should include taxes and the effect of carbon prices.,,,,no
1053,Price|Final Energy|Transportation|Liquids|Hydrogen synfuel,US$2010/GJ or local currency/GJ,,,,,Energy,Liquids|Hydrogen synfuel price at the final level in the transportation sector. Prices should include taxes and the effect of carbon prices.,,,,no
1054,Primary Energy,EJ/yr,PE,EJ/yr,,,Energy,total primary energy consumption (direct equivalent),yes,endogenous,high,no
1055,Primary Energy|Biomass,EJ/yr,PE|+|Biomass,EJ/yr,,,Energy,"primary energy consumption of purpose-grown bioenergy crops, crop and forestry residue bioenergy, municipal solid waste bioenergy, traditional biomass",yes,endogenous,high,no
1056,Primary Energy|Biomass|1st Generation,EJ/yr,PE|Biomass|1st Generation,EJ/yr,,,Energy,"biomass primary energy from 1st generation biofuel crops (e.g., sugar cane, rapeseed oil, maize, sugar beet)",yes,endogenous,high,no
1057,Primary Energy|Biomass|Electricity,EJ/yr,PE|Biomass|Electricity,EJ/yr,,,Energy,"primary energy input to electricity generation of purpose-grown bioenergy crops, crop and forestry residue bioenergy, municipal solid waste bioenergy, traditional biomass",yes,endogenous,high,no
1058,Primary Energy|Biomass|Electricity|w/ CCS,EJ/yr,PE|Biomass|Electricity|w/ CCS,EJ/yr,,,Energy,"purpose-grown bioenergy crops, crop and forestry residue bioenergy, municipal solid waste bioenergy, traditional biomass primary energy input to electricity generation used in combination with CCS",yes,endogenous,high,no
1059,Primary Energy|Biomass|Electricity|w/o CCS,EJ/yr,PE|Biomass|Electricity|w/o CCS,EJ/yr,,,Energy,"purpose-grown bioenergy crops, crop and forestry residue bioenergy, municipal solid waste bioenergy, traditional biomass primary energy input to electricity generation without CCS",yes,endogenous,high,no
1060,Primary Energy|Biomass|Energy Crops,EJ/yr,PE|Biomass|Energy Crops,EJ/yr,,,Energy,biomass primary energy from purpose-grown bioenergy crops,yes,endogenous,high,no
1061,Primary Energy|Biomass|Gases,EJ/yr,PE|Biomass|Gases,EJ/yr,,,Energy,primary energy input to the fuel conversion sector,yes,endogenous,high,no
1062,Primary Energy|Biomass|Hydrogen,EJ/yr,PE|Biomass|Hydrogen,EJ/yr,,,Energy,primary energy input to the fuel conversion sector,yes,endogenous,high,no
1063,Primary Energy|Biomass|Liquids,EJ/yr,PE|Biomass|Liquids,EJ/yr,,,Energy,primary energy input to the fuel conversion sector,yes,endogenous,high,no
1064,Primary Energy|Biomass|Modern,EJ/yr,PE|Biomass|Modern,EJ/yr,,,Energy,"modern biomass primary energy consumption, including purpose-grown bioenergy crops, crop and forestry residue bioenergy and municipal solid waste bioenergy",yes,endogenous,high,no
